mem_pct_string,state,mem_pct
9.12,Alabama,9.12
20.06666667,Alaska,20.07
11.17333333,All States,11.17
5.626666667,Arizona,5.63
4.546666667,Arkansas,4.55
16.57333333,California,16.57
8.266666667,Colorado,8.27
15.88666667,Connecticut,15.89
10.49333333,Delaware,10.49
9.46,District of Columbia,9.46
5.826666667,Florida,5.83
4.326666667,Georgia,4.33
22.28,Hawaii,22.28
5.673333333,Idaho,5.67
15.04,Illinois,15.04
9.76,Indiana,9.76
9.133333333,Iowa,9.13
7.953333333,Kansas,7.95
9.326666667,Kentucky,9.33
5,Louisiana,5.00
11.82,Maine,11.82
11.58666667,Maryland,11.59
13.6,Massachusetts,13.60
15.77333333,Michigan,15.77
15.00666667,Minnesota,15.01
5.273333333,Mississippi,5.27
9.6,Missouri,9.60
12.5,Montana,12.50
7.88,Nebraska,7.88
14.06,Nevada,14.06
10.26666667,New Hampshire,10.27
16.33333333,New Jersey,16.33
6.913333333,New Mexico,6.91
23.43333333,New York,23.43
2.926666667,North Carolina,2.93
6.06,North Dakota,6.06
12.92666667,Ohio,12.93
6.093333333,Oklahoma,6.09
15.8,Oregon,15.80
13.37333333,Pennsylvania,13.37
16.59333333,Rhode Island,16.59
2.886666667,South Carolina,2.89
5.12,South Dakota,5.12
5.213333333,Tennessee,5.21
4.686666667,Texas,4.69
4.673333333,Utah,4.67
11.64,Vermont,11.64
4.553333333,Virginia,4.55
18.97333333,Washington,18.97
11.82,West Virginia,11.82
10.6,Wisconsin,10.60
6.873333333,Wyoming,6.87
